D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;;5.0;85.5;2.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;;16.0;74.375;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;;5.119;4.0;101.5;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;24.641;;38.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;16.867;10.967;9.0;53.0;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;19.543;8.5;35.0;36.375;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;14.227;;28.0;68.125;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;;;9.0;80.75;1.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;;;25.0;72.625;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;;4.935;4.0;101.75;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;23.168;;35.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;17.173;11.1;9.0;50.875;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;18.46;8.0;44.0;33.125;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;14.308;;29.0;63.75;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;;;10.0;75.5;1.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;;;23.0;72.25;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;;4.778;5.0;102.375;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;22.041;;39.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;17.097;11.233;11.0;51.125;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;17.507;7.8;36.0;35.375;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;14.105;;25.0;63.625;4.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;;;7.0;76.0;2.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;;;14.0;76.0;3.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;;4.725;5.0;103.5;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;21.825;;24.0;;
